UCL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL101001,76325,15134,92069,818606,132071,10120,960792,2645072,226666,3832530
UCL102001,503,72,579,6329,1991,231,8557,20497,1624,30675
UCL102002,8050,2078,10181,53714,13633,1376,68726,181572,16187,266486
UCL102003,2501,393,2908,8976,3103,370,12458,37744,3566,53762
UCL102004,7869,1586,9530,56485,21138,1936,79563,193993,14845,288407
UCL102005,6067,1185,7298,46362,13296,1108,60758,157590,11699,230048
UCL111001,1216,149,1379,8405,3179,402,11981,28952,2686,43620
UCL111002,1443,353,1807,7327,2668,379,10373,28737,3069,42183
UCL111003,1303,204,1528,16546,5171,714,22427,45095,3091,70615
UCL112001,451,116,566,2769,930,118,3818,11815,1881,17514
UCL112002,868,76,949,5605,2092,275,7977,19039,2296,29310
UCL112003,618,73,694,4771,1209,128,6104,18098,1134,25338
UCL112004,899,189,1100,3437,1133,122,4699,14295,1011,20007
UCL112005,551,92,646,3395,1451,156,4995,11413,2552,18961
UCL112006,761,124,896,6248,2224,264,8740,18924,2765,30419
UCL112007,154,55,215,968,279,44,1291,3807,424,5518
UCL112008,1058,276,1343,2024,967,88,3086,13632,1377,18099
UCL112009,657,65,717,3493,1365,167,5017,12932,1635,19580
UCL112010,455,139,596,3103,1122,116,4342,11080,1367,16787
UCL112011,292,29,322,3534,1172,156,4868,10031,856,15750
UCL112012,731,104,837,4043,1535,225,5800,15680,1643,23122
UCL112013,28,0,32,403,151,21,573,1156,154,1884
UCL112014,857,80,938,3396,1079,136,4611,12725,914,18262
UCL112015,897,80,986,4941,1678,243,6868,17465,2718,27050
UCL112016,861,146,1020,6733,2225,329,9292,20148,1993,31430
UCL112017,1733,402,2147,6655,2452,296,9408,28584,2347,40342
UCL112018,904,204,1116,4968,1856,246,7070,18777,2507,28353
UCL112019,1124,148,1283,7671,3028,380,11075,26392,2345,39809
UCL113001,982,197,1190,2247,941,71,3261,11637,1179,16078
UCL113002,512,37,553,1274,589,62,1924,7751,840,10515
UCL113003,460,125,590,2187,957,119,3262,9855,1362,14478
UCL113004,140,23,168,1420,434,47,1908,6337,880,9121
UCL113005,600,101,708,2376,1054,150,3577,9227,1107,13912
UCL113006,265,32,297,1213,552,74,1841,5574,1609,9029
UCL113007,398,120,519,2247,954,120,3319,8338,667,12332
UCL113008,358,25,382,1409,557,78,2043,6659,658,9364
UCL113009,68,6,70,1960,592,92,2649,4793,259,7700
UCL113010,289,53,340,1996,563,101,2656,5845,591,9103
UCL113011,148,29,175,1835,521,69,2426,5488,624,8527
UCL113012,443,133,575,1848,757,67,2678,9198,717,12595
UCL113013,225,23,252,2160,832,104,3095,7404,729,11233
UCL113014,268,17,291,2536,844,113,3498,7049,595,11139
UCL113015,286,25,315,1416,580,68,2065,6598,607,9268
UCL113016,714,146,861,2171,892,120,3181,10344,1358,14876
UCL113017,433,55,498,1886,783,91,2755,8668,773,12191
UCL113018,65,19,80,291,138,11,447,1382,193,2020
UCL114001,307,42,351,713,301,42,1057,3081,224,4361
UCL114002,544,52,605,620,367,33,1014,5905,379,7298
UCL114003,341,73,419,1171,483,68,1724,5506,808,8032
UCL114004,214,23,240,887,309,28,1223,3606,551,5382
UCL114005,230,23,248,691,363,31,1088,3405,329,4820
UCL114006,212,31,252,652,329,25,1002,3354,306,4660
UCL114007,320,28,346,1057,472,51,1583,4720,489,6791
UCL114008,240,30,272,721,362,52,1135,3688,563,5389
UCL114009,100,71,170,1367,256,36,1660,3278,305,5246
UCL114010,173,28,198,909,372,63,1348,3643,532,5523
UCL114011,164,58,216,597,198,16,814,3016,484,4309
UCL114012,4,0,6,1723,210,57,1996,2176,179,4350
UCL114013,251,27,281,1237,464,72,1768,4088,657,6508
UCL114014,46,4,55,1479,237,16,1735,3010,114,4859
UCL114015,294,48,347,1267,515,63,1848,5151,772,7771
UCL114016,212,31,250,1041,441,45,1527,3869,491,5879
