UCL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL101001,..,17664,31300,7650,5000,5476,3883,1442,424,72820,..,7224,27495,23046,22318,33809,41553,35003,18771,209216,4043,6178,6686,3578,2768,2913,2720,1505,972,31372,402541,263341,358840,342077,291316,249222,188380,104395,39932,2240047,..,11088,235055,432312,361537,303605,224096,109459,24248,1701399,..,26945,140622,73059,47669,29930,13258,3870,515,335870,..,2762,16747,38105,53344,36424,17065,11459,7598,183513,819280,..,..,..,..,..,..,..,..,819280,..,259949,..,..,..,..,..,..,..,259949,..,136498,116686,33859,20992,10219,1898,84,0,320238,..,24388,24942,9487,9855,18370,19981,13649,7947,128613,..,15430,26031,9500,6204,4699,2177,643,198,64892,..,39330,76117,21129,13140,12721,8739,3185,784,175128,..,14388,57060,51390,49285,63420,65472,49571,25417,376004,8383,11290,12920,7550,5915,5470,4477,2285,1269,59560,827657,542065,706186,676391,567945,484857,357165,194202,67976,4424447
UCL102001,..,61,93,33,31,38,30,7,0,293,..,100,315,270,323,471,349,297,143,2263,33,51,67,19,29,54,34,18,12,312,3133,1988,2921,2522,2589,2107,1327,714,248,17550,..,88,2101,2854,2903,2391,1498,609,151,12594,..,376,1259,697,583,332,124,22,0,3386,..,41,239,401,469,257,114,88,44,1659,6448,..,..,..,..,..,..,..,..,6448,..,1637,..,..,..,..,..,..,..,1637,..,1239,647,203,140,71,13,5,0,2317,..,183,162,54,74,113,110,66,24,783,..,99,207,59,32,18,8,0,0,427,..,159,325,124,89,104,64,22,6,895,..,214,695,615,737,956,633,441,174,4465,71,107,153,53,77,73,74,37,10,651,6517,4144,5790,5047,5106,4323,2636,1282,415,35264
UCL102002,..,610,698,255,469,699,540,239,57,3576,..,323,912,849,1655,3703,5430,4702,2615,20195,405,500,335,207,234,267,287,164,71,2468,27117,16800,17601,19320,20297,20890,19249,11961,4556,157798,..,404,10420,20999,21369,21774,20591,11838,2344,109742,..,2953,9334,5767,4831,3493,1863,690,86,29015,..,454,2325,3931,4851,2806,1355,961,723,17407,55327,..,..,..,..,..,..,..,..,55327,..,13865,..,..,..,..,..,..,..,13865,..,11748,5676,1980,1481,982,207,11,0,22092,..,1158,853,457,590,1244,1378,951,541,7186,..,1078,994,457,427,364,159,68,12,3557,..,1195,1777,672,1110,1473,1153,521,105,8014,..,652,2113,2281,3845,6718,8390,6916,3547,34469,841,930,711,526,513,524,506,246,102,4901,56169,34459,34211,37073,39027,39373,35601,22193,7461,305569
UCL102003,..,166,191,66,95,206,172,83,28,1005,..,41,167,168,328,879,1312,1189,753,4836,62,87,68,44,58,83,88,28,27,541,4488,2778,2935,3488,3763,4446,4539,3066,1341,30844,..,35,1553,3635,3797,4232,4666,3048,776,21747,..,356,1599,1119,893,817,531,213,34,5568,..,56,287,651,908,460,257,249,187,3060,9246,..,..,..,..,..,..,..,..,9246,..,2256,..,..,..,..,..,..,..,2256,..,1910,816,351,301,266,70,4,0,3721,..,235,153,61,87,223,283,165,104,1316,..,228,221,88,89,100,41,17,6,787,..,286,429,165,206,404,358,171,54,2074,..,93,335,376,707,1475,2073,1756,1026,7838,125,168,134,99,113,154,156,53,36,1048,9370,5627,5533,6545,7114,8123,8442,5683,2233,58669
UCL102004,..,2622,2064,452,455,580,426,135,45,6787,..,567,1690,1334,1823,3765,4790,4185,2439,20594,467,1074,608,305,258,325,259,111,83,3490,28083,20290,22596,21483,21272,20635,17876,10738,4173,167158,..,438,12674,23522,23164,22598,20486,10970,2200,116053,..,3847,12521,6527,4855,3409,1616,515,66,33348,..,313,1881,3769,4770,2552,1276,971,682,16210,56970,..,..,..,..,..,..,..,..,56970,..,14724,..,..,..,..,..,..,..,14724,..,10786,5242,1976,1491,976,184,12,0,20660,..,1659,1147,403,547,1001,1079,738,408,6984,..,1300,1331,402,349,242,133,33,16,3803,..,4986,4887,1207,1107,1292,863,310,74,14726,..,1174,3657,3293,4335,6988,7764,5973,3280,36462,962,1899,1307,718,622,570,487,214,113,6883,57933,41126,44649,41804,41240,39620,33888,19728,6833,326822
UCL102005,..,1841,1248,222,306,381,262,99,27,4393,..,417,1084,872,1390,2724,3427,3178,1744,14838,318,779,368,195,177,215,152,115,55,2384,23202,17139,17581,16921,17324,16986,13852,8635,3258,134899,..,383,10698,19516,19632,19530,16626,8965,1929,97281,..,2761,8972,4557,3670,2514,1122,354,67,24017,..,307,1586,3030,3742,2268,976,845,601,13346,47301,..,..,..,..,..,..,..,..,47301,..,12761,..,..,..,..,..,..,..,12761,..,10516,5473,1864,1415,828,162,3,0,20269,..,1231,826,357,466,924,935,707,405,5848,..,898,880,288,237,205,93,32,13,2646,..,3663,3290,616,678,845,562,229,49,9933,..,786,2417,2291,3265,5365,5610,4598,2381,26713,678,1381,785,471,414,413,308,172,91,4707,47980,34691,34932,32989,33520,32895,26388,15899,5526,264825
UCL111001,..,309,197,59,72,88,63,30,4,815,..,195,370,268,357,723,874,766,393,3948,59,90,65,40,40,47,47,22,13,430,4630,3044,3441,3203,3133,3122,2754,1695,613,25632,..,70,2121,3321,3161,3230,3016,1600,329,16846,..,716,1704,910,687,503,241,90,4,4854,..,127,453,699,723,336,146,108,70,2660,9341,..,..,..,..,..,..,..,..,9341,..,1930,..,..,..,..,..,..,..,1930,..,1598,599,209,151,98,18,0,0,2674,..,249,168,85,82,139,132,72,35,966,..,184,152,50,34,29,13,5,0,472,..,593,546,141,168,176,142,50,7,1828,..,361,813,631,856,1309,1389,1048,527,6925,134,185,156,111,92,85,81,34,19,893,9467,6008,6712,6154,5952,5896,5189,3006,988,49382
UCL111002,..,184,149,53,91,132,89,34,0,740,..,79,192,182,350,708,885,812,411,3620,58,107,56,39,47,78,68,32,12,499,4224,2497,2654,2895,3131,3277,3146,2000,736,24560,..,75,1552,2761,2980,3131,3328,1989,484,16307,..,470,1217,867,750,596,356,106,18,4375,..,77,396,693,761,395,204,156,103,2790,8273,..,..,..,..,..,..,..,..,8273,..,1836,..,..,..,..,..,..,..,1836,..,1461,690,280,222,143,45,0,0,2848,..,277,152,70,86,162,172,93,76,1097,..,193,192,110,81,50,27,10,0,666,..,319,360,146,199,255,190,74,11,1553,..,148,426,430,677,1221,1445,1125,558,6024,116,184,147,101,86,143,111,44,16,941,8395,5048,5134,5457,5838,6098,5879,3602,1270,46713
UCL111003,..,144,213,101,95,122,91,28,8,805,..,115,312,261,432,840,1036,860,445,4312,156,165,124,62,54,71,60,42,22,760,8945,5199,6511,5864,5379,4935,4127,2304,760,44029,..,169,4417,6467,5893,5511,4904,2410,386,30153,..,1300,3563,1750,1251,742,290,98,9,9009,..,158,880,1232,1210,621,295,193,116,4699,17950,..,..,..,..,..,..,..,..,17950,..,3732,..,..,..,..,..,..,..,3732,..,3417,1432,484,341,163,37,0,0,5871,..,419,307,146,172,331,312,200,83,1967,..,325,304,128,109,62,38,11,0,971,..,323,516,239,222,287,214,59,9,1873,..,247,803,753,1015,1470,1602,1207,572,7665,329,312,276,157,138,134,98,56,22,1516,18277,10411,12495,11349,10346,9317,7780,4229,1197,85400
UCL112001,..,195,109,23,18,23,18,10,0,404,..,81,167,107,161,296,314,301,167,1597,53,205,53,19,34,17,14,18,15,414,1695,1379,1388,1098,1061,1085,894,678,261,9544,..,62,839,1122,976,1034,912,617,145,5703,..,329,631,284,229,202,87,18,0,1771,..,32,176,245,241,126,61,50,28,957,3320,..,..,..,..,..,..,..,..,3320,..,747,..,..,..,..,..,..,..,747,..,476,205,76,57,36,3,0,0,856,..,113,71,25,35,46,54,23,13,377,..,73,67,23,13,4,0,3,0,187,..,360,250,56,52,58,40,18,4,840,..,157,328,257,317,531,493,418,223,2726,98,332,83,50,54,29,30,19,14,722,3416,2691,2640,2141,1972,2075,1678,1170,432,18211
