UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL101001,307815,51663,77310,1106,296,438192,353541,69727,114015,807,561,538646,121101,54257,269770,3413,1352,449894,17649,16734,22777,13,103,57281,2601,3940,8438,42,92,15117,29218,9632,31697,873,420,71835,5939,1981,4679,327,224,13143,961,452,1420,30,18,2882,177475,86996,338779,4695,2212,610161,9459,5068,11439,167,125,26256,10329,2976,7630,152,314,21413,858616,216434,549172,6931,3506,1634660
UCL102001,2938,517,274,8,4,3737,3974,1037,486,3,0,5505,719,876,1343,5,3,2953,385,126,51,0,0,559,33,96,33,0,0,162,344,236,286,5,0,871,274,49,64,5,3,384,10,11,5,0,0,26,1756,1395,1787,16,10,4961,66,44,31,3,6,138,94,39,39,0,0,179,8830,3024,2618,29,18,14520
UCL102002,34578,5008,2502,320,33,42443,37687,2454,1672,63,26,41905,15429,3774,4595,309,81,24185,1235,1307,781,5,14,3327,354,373,368,5,3,1108,3930,643,644,59,26,5291,615,135,60,122,10,940,108,41,40,8,0,199,21666,6268,6479,502,131,35052,1074,1499,522,22,12,3139,1187,448,222,33,31,1926,96195,15675,11403,947,239,124458
UCL102003,6490,2467,1384,407,24,10774,5346,1351,627,15,7,7342,1294,1133,1233,4,3,3676,161,309,189,0,0,664,42,106,49,0,0,197,644,487,314,6,10,1468,148,160,68,69,7,452,20,18,6,0,0,43,2308,2217,1875,87,23,6508,157,184,137,13,0,503,218,127,88,11,5,450,14523,6348,4112,535,63,25578
UCL102004,38006,4490,2074,164,28,44765,40908,2976,1632,39,26,45566,14278,5506,5239,183,59,25266,2279,1887,1735,3,9,5916,330,424,450,6,6,1218,4643,1052,906,44,28,6681,537,157,109,54,11,866,105,36,44,0,0,186,22172,9066,8487,293,113,40137,1082,753,331,13,11,2194,980,294,236,15,29,1551,103145,17579,12764,523,206,134205
UCL102005,29223,3094,2929,455,26,35722,28773,2966,2415,80,24,34260,8390,3925,6816,157,48,19337,3172,1977,1525,8,3,6691,193,279,244,3,7,726,2593,700,1007,54,28,4389,263,65,116,64,8,515,73,34,47,0,0,160,14688,6981,9756,280,98,31805,648,395,541,20,10,1613,821,221,253,19,19,1331,74149,13652,15898,858,173,104731
UCL111001,5792,593,44,19,3,6450,6362,334,13,4,5,6711,2968,2210,184,12,5,5386,509,177,20,0,0,699,87,91,11,0,0,188,724,235,6,3,3,974,96,33,3,14,3,150,26,20,7,0,0,52,4408,2763,226,28,12,7445,324,102,33,0,3,456,234,81,14,8,17,353,17127,3873,325,58,44,21423
UCL111002,5386,785,603,169,19,6959,4693,507,314,8,4,5524,1797,945,1311,9,16,4083,345,207,189,3,0,748,179,117,111,0,0,405,644,226,241,8,3,1132,83,32,21,65,10,208,25,15,14,0,0,57,3069,1542,1894,87,31,6625,174,168,67,4,6,414,156,72,72,15,12,331,13482,3071,2948,285,64,19852
UCL111003,8467,591,58,114,8,9244,12166,389,40,7,4,12603,4911,1253,424,28,5,6625,786,240,86,0,3,1125,267,159,66,0,3,495,1061,164,37,7,6,1275,386,30,7,40,0,460,25,13,0,0,0,46,7434,1861,629,80,19,10019,333,309,11,5,7,665,271,56,30,9,5,373,28673,3212,764,211,45,32903
UCL112001,2206,130,14,16,0,2361,1942,69,12,0,0,2022,1281,648,267,8,10,2210,201,50,55,0,3,310,94,46,61,0,0,201,320,61,24,0,5,408,46,12,0,6,0,67,7,8,0,0,0,15,1938,829,410,19,15,3209,103,35,3,0,3,147,72,21,10,0,10,110,6268,1080,449,32,31,7860
UCL112002,3800,296,92,16,6,4206,4056,180,36,0,0,4278,2014,779,418,14,8,3227,320,119,52,0,4,496,50,54,7,0,0,109,505,110,39,0,4,661,43,18,5,0,0,71,20,9,0,0,0,30,2951,1089,523,15,10,4592,101,28,34,0,0,164,126,34,15,0,0,172,11033,1626,704,34,25,13419
UCL112003,4781,150,97,0,9,5031,4304,66,60,0,3,4444,1357,129,261,12,4,1766,33,46,37,0,0,123,77,77,84,4,0,242,453,32,54,5,5,544,29,0,14,3,3,46,10,5,5,0,0,20,1957,292,457,21,13,2742,121,20,27,0,9,175,104,9,13,0,20,141,11269,532,657,31,45,12534
UCL112004,4014,371,51,26,10,4475,2562,79,32,6,5,2680,944,239,152,5,0,1345,74,24,9,0,0,111,87,26,16,0,0,136,244,37,22,0,3,300,27,13,7,4,3,55,5,10,0,0,0,10,1381,345,206,10,5,1959,123,143,20,0,0,284,74,22,10,0,3,113,8156,965,316,41,29,9506
UCL112005,2348,183,7,21,12,2581,2455,74,5,6,3,2545,1396,416,89,5,0,1913,195,112,14,0,0,318,34,47,10,0,0,93,329,53,3,3,0,384,37,16,4,0,4,53,11,9,0,0,0,19,2000,654,116,12,3,2785,71,58,0,0,0,135,102,31,3,0,0,134,6973,995,138,42,19,8172
UCL112006,3373,252,71,17,6,3713,4470,102,29,0,4,4606,2144,584,609,21,8,3367,331,90,151,0,0,571,89,45,44,3,0,184,698,60,55,7,3,819,71,22,45,5,4,153,15,12,14,0,0,46,3359,809,920,35,17,5134,87,172,56,5,4,319,152,44,36,0,9,240,11443,1375,1106,54,42,14014
UCL112007,970,103,7,18,0,1095,777,23,0,0,0,799,244,93,4,0,0,337,12,0,0,0,0,12,5,16,0,0,0,24,72,16,0,0,0,92,22,5,0,8,0,39,0,0,0,0,0,3,357,131,7,5,7,501,33,38,0,0,4,72,38,11,0,0,0,54,2182,304,7,30,11,2527
UCL112008,3104,855,489,120,5,4576,1380,168,146,7,0,1700,650,286,598,29,8,1570,28,82,72,0,0,179,43,65,69,0,0,177,236,93,99,7,6,442,24,13,19,14,0,68,3,5,7,0,0,23,982,545,867,51,13,2456,84,39,172,4,8,308,106,37,55,4,4,199,5650,1643,1728,181,36,9238
UCL112009,2794,203,24,15,0,3041,2660,111,16,6,3,2792,1327,409,203,20,5,1969,391,83,36,0,0,508,35,61,18,0,0,117,373,57,36,6,0,476,41,14,7,14,0,70,13,4,4,0,0,18,2179,626,301,41,8,3157,67,73,5,0,0,146,107,21,8,4,10,146,7804,1027,359,71,23,9283
UCL112010,2124,60,76,21,5,2289,1978,41,40,0,4,2059,819,178,544,24,0,1562,220,22,42,0,0,287,33,20,29,0,0,82,357,35,82,7,4,485,79,12,35,17,0,149,14,3,9,0,0,28,1520,274,740,52,13,2597,119,15,18,0,0,160,113,11,20,7,4,165,5859,404,899,83,32,7272
UCL112011,2087,68,7,0,0,2172,2789,68,10,0,3,2866,1173,302,70,3,3,1550,126,37,26,0,0,196,25,13,4,0,0,43,264,16,10,0,0,301,39,0,0,0,0,35,5,5,4,0,0,15,1635,378,111,7,0,2131,57,0,0,0,0,61,82,3,8,0,3,104,6646,523,144,5,12,7332
