UCL_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
UCL101001,341,828,53,41,96,38,18,22,22,1463,2499,14769,296,155,394,118,90,98,173,18591,33104,70396,5625,3579,10431,5473,3688,3084,2122,137497,968,1895,131,100,335,165,139,97,96,3939,3583,8472,630,572,1108,419,295,254,161,15481,1386,2108,233,236,395,150,84,79,56,4732,67534,152474,20524,13935,25533,15378,11662,10614,4862,322505,85,87,135,63,40,62,81,95,35,681,10451,9911,7378,4195,3725,3115,3624,3039,693,46135,14084,12430,12006,6557,6130,5248,5530,4767,1102,67863,25018,9584,83766,9081,10320,8384,17792,15326,3272,182545,1040,708,1024,839,744,760,1107,1014,113,7356,3160,2297,2412,1345,1632,1734,2206,1912,290,16998,1634,2592,1228,536,724,585,878,711,245,9137,2276,2584,2047,920,1127,1012,1841,1603,3206,16619,167159,291140,137483,42161,62737,42638,49040,42723,16454,851529,336,1375,24,85,213,40,9,13,17,2112,1766,11658,231,203,577,89,18,37,119,14686,23055,76244,2490,6786,16926,5031,734,1672,1801,134735,716,2306,64,230,496,148,23,62,55,4100
UCL102001,7,3,0,0,0,0,0,0,0,13,23,97,3,0,3,0,0,8,0,138,325,360,44,61,74,55,49,64,19,1052,6,7,0,0,0,3,0,0,0,18,44,75,0,7,10,4,3,0,5,151,16,42,4,4,3,0,0,0,0,74,348,697,116,113,149,86,66,62,41,1686,0,0,0,0,0,0,0,0,0,3,107,78,68,49,45,15,8,18,9,386,174,140,118,92,96,28,43,32,11,731,313,145,1280,162,159,77,228,226,54,2636,12,9,29,18,14,10,9,19,0,120,20,26,11,21,6,12,14,20,0,134,8,10,10,6,0,3,0,5,0,53,16,27,21,8,16,3,23,14,25,149,1424,1708,1702,551,582,296,457,464,165,7353,3,7,0,0,3,0,0,0,0,9,22,59,0,6,12,0,0,0,3,101,220,400,12,95,107,45,3,19,18,928,8,13,0,0,3,0,0,0,0,28
UCL102002,6,33,0,0,0,0,0,0,0,37,50,406,3,4,7,3,3,8,8,492,694,1460,88,107,133,69,49,52,26,2678,24,43,4,5,8,0,0,0,0,77,114,349,36,43,36,13,10,12,5,606,79,124,9,16,20,6,0,11,0,264,1899,5064,598,679,579,377,219,286,111,9817,7,7,13,3,4,0,4,0,0,37,603,623,371,379,202,149,126,140,34,2625,987,848,700,607,349,271,211,243,56,4275,2781,996,10934,1429,964,986,2083,2349,402,22922,75,63,114,78,65,93,106,161,10,768,212,166,199,156,88,107,169,185,26,1324,75,95,69,37,26,30,37,47,13,417,118,123,168,79,54,47,136,138,132,997,7732,10391,13307,3613,2532,2152,3150,3636,821,47341,13,74,0,4,7,0,0,0,0,100,42,310,6,3,16,3,0,0,9,386,533,2126,55,172,263,73,3,26,26,3284,15,102,0,5,9,0,0,0,6,144
UCL102003,3,11,0,0,0,0,0,0,0,17,12,70,0,0,0,0,0,0,0,82,109,217,19,16,13,9,15,11,9,417,3,3,0,0,0,0,0,0,0,16,18,76,11,19,5,3,6,0,0,130,9,27,0,3,5,0,0,0,0,49,351,914,121,137,88,75,51,76,24,1827,0,4,5,4,0,0,4,0,0,12,101,97,77,67,25,31,16,23,4,441,167,127,165,142,53,56,36,72,9,830,506,135,2097,255,127,191,314,501,78,4199,15,6,23,23,5,6,15,38,4,136,39,25,30,23,7,23,25,47,6,235,9,10,12,5,4,8,3,3,5,63,24,24,48,14,6,12,31,40,39,242,1361,1747,2610,713,343,415,513,817,164,8695,0,18,0,5,4,0,0,0,0,22,7,63,0,4,3,0,0,0,0,76,75,392,14,35,37,13,5,13,4,579,5,16,0,4,0,0,0,0,0,21
UCL102004,17,62,0,3,3,0,0,8,0,90,119,1136,17,15,22,0,9,3,8,1329,1011,2385,161,153,222,103,92,56,45,4218,25,77,8,4,3,4,4,0,0,121,185,546,33,58,58,25,15,6,10,941,124,212,31,24,42,9,12,3,6,468,2728,8901,938,922,901,472,305,380,123,15672,5,5,6,5,4,0,0,0,0,27,693,756,499,329,193,138,115,103,31,2856,964,1052,1025,734,385,256,289,251,70,5028,2728,1109,12288,1587,1141,988,2788,2222,379,25237,87,55,135,131,68,94,129,178,14,886,167,124,161,132,97,85,164,165,13,1108,50,108,46,44,22,28,40,38,13,386,137,135,179,108,40,69,131,139,146,1081,9050,16669,15528,4251,3186,2268,4093,3557,855,59457,8,105,6,6,7,3,0,0,0,130,93,969,11,18,42,0,0,5,3,1147,768,3557,75,238,394,78,5,39,32,5195,32,122,3,0,10,3,0,0,0,188
UCL102005,9,35,3,0,0,0,0,0,0,54,102,862,23,8,14,0,9,3,9,1036,780,1882,128,137,222,136,164,88,47,3581,17,49,3,3,0,0,0,6,0,78,123,464,40,56,39,11,13,17,7,758,74,113,12,19,25,5,4,3,3,266,1805,5471,696,819,622,379,284,324,109,10509,0,10,11,4,3,0,4,0,0,30,463,461,423,377,132,79,136,110,22,2203,773,729,958,612,317,221,235,257,54,4153,2060,773,9966,1119,847,720,2659,1977,337,20468,59,39,93,92,39,60,92,141,6,614,144,113,137,91,79,74,155,120,26,935,36,83,43,28,13,8,31,31,12,284,79,86,123,74,44,54,129,113,119,818,6531,11153,12653,3442,2397,1747,3919,3186,762,45790,17,84,0,3,4,0,0,0,0,111,77,676,11,11,22,0,0,8,5,806,619,2715,60,212,320,81,13,37,37,4095,23,87,0,5,4,0,0,0,0,123
UCL111001,3,0,0,0,0,0,0,0,0,9,10,68,0,0,5,0,0,0,0,88,101,240,17,19,25,16,21,12,10,468,7,4,0,0,3,0,0,0,0,18,29,96,3,10,6,3,4,5,0,154,19,32,3,7,6,0,0,5,0,67,293,859,108,123,103,52,76,57,15,1678,4,0,0,4,0,5,0,0,0,10,76,66,95,51,22,23,25,19,4,395,140,120,134,110,39,39,89,48,16,731,525,170,1930,250,181,187,429,391,58,4115,17,6,24,16,11,22,24,26,0,142,30,14,20,14,5,20,28,31,3,168,6,11,14,6,7,6,15,13,0,65,19,20,26,7,4,9,25,30,31,175,1284,1715,2375,627,415,381,742,633,137,8297,3,14,0,0,0,0,0,0,0,14,7,78,0,0,0,0,0,0,5,91,80,361,12,60,36,19,10,15,7,603,5,19,0,3,0,0,0,0,0,34
UCL111002,0,3,0,0,0,0,0,0,0,3,10,64,0,0,3,0,0,0,0,81,63,215,8,14,25,8,3,6,4,338,4,11,0,0,0,0,0,0,0,17,17,83,10,9,9,0,0,0,0,133,12,19,0,5,0,0,0,0,0,33,259,856,92,111,73,56,25,61,8,1536,0,0,0,0,0,0,0,0,0,5,61,65,41,44,27,19,17,24,4,304,134,91,108,97,48,40,25,39,5,586,393,108,1433,271,166,204,255,447,40,3316,19,0,19,22,10,20,18,21,3,136,36,12,18,25,6,17,23,41,4,180,7,12,9,7,0,3,0,14,0,46,16,20,21,10,17,9,17,36,21,180,1017,1562,1762,621,384,378,384,686,94,6895,0,11,0,0,0,0,0,0,0,16,5,50,0,3,0,0,0,0,0,64,65,324,10,23,28,11,4,0,5,468,5,17,0,0,0,0,0,0,0,28
UCL111003,0,7,0,0,0,0,0,0,0,8,18,74,4,0,0,0,0,0,0,102,137,291,26,42,22,17,16,11,4,568,5,14,0,0,0,0,0,0,0,15,32,94,10,14,8,0,0,0,0,157,28,29,0,8,5,0,0,0,0,71,362,1179,162,148,101,79,67,74,16,2178,0,0,0,0,0,0,0,0,0,7,149,154,162,88,42,29,40,30,5,694,278,227,265,188,103,47,100,71,19,1294,747,290,3876,431,339,277,1292,621,136,8015,24,9,44,51,19,27,65,54,0,288,43,26,50,35,12,22,53,41,5,288,10,18,15,7,3,0,10,10,4,86,25,23,37,15,14,16,53,53,47,280,1855,2435,4666,1014,669,517,1693,967,244,14065,3,29,0,0,0,0,0,0,0,33,12,68,3,0,8,0,0,0,0,93,122,495,16,42,58,13,0,10,5,760,0,25,0,0,4,0,0,0,0,34
UCL112001,0,3,0,0,0,0,0,0,0,4,25,198,6,6,10,0,0,9,0,258,48,141,24,28,14,0,9,34,3,303,0,0,0,0,0,0,0,0,0,4,12,50,9,5,5,0,0,0,0,80,4,17,0,6,0,0,0,0,0,32,139,352,60,74,53,35,16,52,7,797,0,0,0,0,0,0,0,0,0,0,30,23,15,11,8,5,0,3,0,108,28,26,29,32,13,14,12,23,0,184,150,48,469,87,50,57,85,141,11,1102,8,4,15,15,0,15,12,15,0,81,4,6,5,8,5,5,7,9,0,57,5,8,5,5,7,0,0,3,0,31,12,5,11,4,0,5,3,6,8,53,469,890,650,283,171,132,156,301,39,3094,0,4,0,0,0,0,0,0,0,7,28,201,0,0,11,0,0,0,0,243,45,251,16,47,18,4,0,23,4,411,4,8,0,0,3,0,0,3,0,15
