UCL_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
UCL101001,309,48,839,362,791,93,2439,465,53,784,240,560,56,2162,6688,825,15599,8009,20360,1527,53010,1961,249,3047,1214,3058,227,9761,5917,805,20537,11213,58524,2409,99418,5490,653,11633,4647,7721,870,31016,8077,964,19469,8854,13484,1760,52606,3303,412,10477,8798,8457,1251,32701,6415,957,15351,10075,17022,2147,51977,5620,848,13399,3943,3247,622,27676,19546,3472,39939,7879,4247,1557,76639,2878,508,6798,3490,4320,564,18549,33205,4939,68241,11096,7205,2399,127083,3101,480,8815,4271,6141,871,23676,9597,2373,17877,9798,11905,1182,52726,17358,2608,17418,3377,3677,642,45080,16708,2468,27593,6874,6845,1606,62092,1500,336,5079,2029,2678,294,11915,2684,480,5676,3151,16055,637,28681,6731,689,13936,5341,10587,5047,42323,157545,24149,322505,114677,206893,25754,851529,221,57,625,299,388,70,1656,171,34,318,99,72,20,700,3775,636,10552,4701,5071,934,25668,879,141,1608,490,535,79,3731,2965,505,7835,4519,4755,697,21273,4146,610,9510,3752,3400,637,22048,6834,1081,22857,11467,12769,2050,57055,2690,452,10658,7176
UCL102001,0,0,10,5,16,0,28,0,0,0,0,6,0,16,23,3,50,53,222,8,362,9,0,19,22,60,3,110,32,0,92,104,984,29,1246,5,0,16,15,55,3,94,87,7,93,44,159,15,408,59,0,53,40,101,14,272,32,3,59,41,147,13,295,11,4,29,28,33,4,112,4,9,21,16,9,0,57,5,0,25,22,33,0,86,139,35,246,125,98,16,658,21,0,38,33,72,8,168,544,132,596,417,392,42,2115,108,22,117,31,46,6,323,69,17,123,60,74,6,345,13,4,15,11,31,4,79,16,6,43,20,207,4,300,37,5,44,32,137,30,279,1208,244,1686,1118,2893,202,7353,0,0,9,6,0,0,11,0,0,0,0,0,0,0,13,0,21,21,37,0,88,3,0,3,8,15,4,32,7,0,31,37,73,6,161,0,0,0,8,24,3,38,54,3,93,54,148,14,365,44,3,62,51
UCL102002,11,5,67,36,150,8,272,12,4,54,68,294,5,444,116,29,490,502,2492,103,3724,36,12,92,161,520,18,840,95,22,542,731,8143,211,9740,74,25,220,212,668,35,1237,136,28,515,458,1649,86,2865,74,16,292,344,970,62,1754,71,27,251,338,1499,103,2284,86,37,331,224,394,29,1090,202,61,610,412,337,41,1669,30,11,133,181,378,22,753,536,130,1627,671,694,90,3751,42,19,208,234,792,51,1341,269,130,840,952,1381,96,3668,568,192,1296,249,438,39,2768,664,169,1545,644,1272,107,4402,31,11,155,105,266,18,586,73,20,204,184,1617,43,2137,87,11,354,241,1082,238,2018,3206,947,9817,6938,25013,1412,47341,4,3,33,31,79,9,166,3,0,11,14,12,6,46,83,28,379,309,541,65,1402,7,6,54,41,50,7,165,32,27,244,335,597,50,1283,57,11,190,143,235,27,662,98,38,649,741,1855,189,3565,76,24,353,475
UCL102003,0,0,14,13,55,4,84,7,9,11,16,78,7,125,10,0,76,53,334,16,490,11,5,19,18,117,4,164,15,8,125,190,1620,45,2000,6,0,29,39,89,8,169,17,4,99,85,318,22,546,22,6,96,93,307,21,539,21,0,56,60,183,20,338,10,3,31,16,41,0,106,19,9,68,46,39,8,183,3,0,39,40,80,5,161,71,15,292,112,95,19,603,11,4,48,35,165,12,276,25,28,124,135,235,12,559,96,49,262,59,100,8,579,129,42,288,147,211,30,860,12,0,31,30,62,0,135,11,6,46,39,255,10,361,21,0,70,61,203,50,404,517,190,1827,1284,4569,305,8695,4,0,15,12,15,5,46,4,0,10,0,3,4,16,0,0,44,57,68,9,186,0,0,4,7,16,0,30,6,5,56,55,116,13,246,7,0,14,24,29,0,74,21,9,139,158,388,29,745,21,13,140,142
UCL102004,19,5,56,27,125,10,243,119,53,427,341,1751,51,2733,247,62,862,651,2969,85,4869,121,38,327,271,651,18,1427,136,59,1028,739,7428,185,9585,83,32,269,247,988,29,1651,198,44,670,412,1521,90,2930,97,19,440,408,1150,83,2194,159,47,467,487,1740,97,3003,39,14,193,117,208,12,585,197,73,726,358,323,36,1720,49,20,195,173,367,29,825,856,254,2952,777,766,89,5696,67,23,254,215,774,38,1365,511,207,1354,1001,1470,97,4639,1173,228,1969,340,514,48,4267,1292,276,2602,861,1401,155,6586,38,18,182,82,245,16,592,101,31,273,169,1662,39,2273,151,27,420,234,1182,251,2271,5643,1529,15672,7904,27236,1466,59457,6,0,52,31,39,4,126,31,16,123,70,117,13,362,103,44,399,256,450,45,1291,53,17,108,69,108,16,373,62,36,336,331,574,57,1390,45,21,154,129,195,19,559,184,59,837,686,1728,158,3656,89,19,524,455
UCL102005,4,3,25,32,71,9,137,91,26,250,258,1247,50,1914,257,61,754,673,2555,71,4362,51,9,105,138,468,17,775,118,20,499,637,6289,153,7716,71,19,191,154,534,19,998,225,27,518,346,1202,69,2388,164,20,429,269,793,45,1726,153,26,309,417,1776,87,2770,65,18,248,116,143,16,605,185,45,600,274,202,32,1340,24,10,105,103,268,21,543,550,155,1738,546,596,53,3632,68,24,194,165,634,36,1123,368,166,1044,966,1315,77,3938,1156,255,1347,268,400,38,3460,817,182,1433,594,930,98,4051,48,14,163,89,189,16,517,114,17,212,160,1497,27,2026,133,16,337,177,920,186,1774,4667,1103,10509,6379,22022,1104,45790,7,4,29,9,44,3,96,16,4,57,24,46,0,149,97,16,333,199,374,27,1044,20,0,33,25,57,3,142,35,20,197,235,402,23,919,26,13,118,80,167,12,407,120,47,666,547,1370,131,2884,83,20,442,362
UCL111001,6,4,25,21,81,5,142,0,0,3,4,28,0,33,57,17,143,112,675,28,1033,8,0,13,17,70,0,108,12,3,77,93,1275,29,1487,6,5,32,34,154,9,233,33,7,98,84,323,12,556,12,3,60,86,220,8,393,14,8,55,93,261,21,446,7,6,19,11,24,5,71,21,10,46,33,24,3,134,4,0,19,16,50,8,94,61,31,202,66,76,8,449,6,0,35,28,104,15,184,62,33,185,151,254,9,699,106,54,295,48,104,3,615,135,50,293,134,213,12,843,8,0,14,10,30,0,66,7,0,33,41,289,8,376,17,4,34,47,188,47,337,569,244,1678,1140,4427,241,8297,5,5,6,10,23,4,56,0,0,0,0,0,0,0,13,8,85,54,103,8,282,0,0,9,4,6,0,25,15,7,40,48,135,9,251,0,0,15,8,34,4,71,23,12,116,129,331,24,629,20,3,79,89
UCL111002,18,3,50,21,80,9,179,0,0,10,6,30,0,40,5,0,36,34,240,5,328,0,0,5,14,66,3,92,6,7,62,88,1006,18,1194,4,0,16,14,125,4,170,15,0,73,69,325,17,490,8,5,64,84,274,20,456,7,0,35,47,166,14,271,5,3,20,9,25,0,66,11,11,59,41,24,3,148,0,3,23,21,56,3,111,51,25,196,62,81,8,425,8,4,28,32,143,9,216,43,30,158,120,190,13,547,67,41,244,46,76,11,482,156,38,374,121,249,24,957,3,0,20,15,62,3,105,7,8,32,24,255,7,330,3,0,38,25,161,48,276,426,182,1536,900,3632,223,6895,12,5,25,17,34,5,97,0,0,0,0,3,0,7,5,0,18,23,44,3,91,0,0,4,4,8,0,18,4,5,24,56,73,11,173,4,5,17,3,43,0,69,12,9,88,121,335,16,590,5,12,75,109
UCL111003,0,5,11,17,71,6,106,31,21,145,170,1266,32,1661,50,8,131,167,987,32,1381,15,6,40,89,188,10,342,25,5,127,179,1646,44,2024,17,0,43,70,433,9,570,23,3,125,108,479,26,768,17,5,52,83,259,20,435,23,3,52,104,554,31,768,12,0,15,24,42,3,93,9,15,79,72,83,0,259,9,0,17,22,118,0,170,84,47,355,161,211,15,870,8,0,39,62,282,12,402,77,34,210,284,544,11,1161,125,57,302,74,127,6,690,131,35,320,173,312,17,987,3,0,18,26,47,3,96,10,6,38,62,607,11,731,20,0,52,58,349,75,556,679,250,2178,1998,8588,372,14065,0,0,24,14,23,8,71,10,7,30,30,115,7,195,22,8,122,83,206,25,466,5,5,26,16,37,5,91,12,4,50,76,215,15,379,10,0,27,35,89,0,163,33,11,169,200,669,42,1121,19,6,82,110
UCL112001,44,5,56,24,45,5,175,0,0,9,0,25,0,35,10,0,32,8,90,5,138,0,0,5,9,18,0,35,10,0,20,13,308,8,355,0,0,6,8,25,0,44,7,0,46,27,123,4,203,17,0,27,30,92,11,169,5,0,11,7,47,3,79,3,3,9,9,10,0,32,6,8,18,18,9,0,60,0,0,5,0,13,0,26,56,20,94,16,21,3,212,9,0,16,15,56,6,99,55,12,61,36,71,3,238,258,44,204,36,83,9,626,58,20,127,35,85,11,327,4,0,9,3,17,0,36,10,0,27,7,80,7,126,13,0,14,6,42,9,81,563,115,797,292,1243,79,3094,24,3,32,14,16,5,88,0,0,4,0,0,0,5,0,0,9,9,9,0,28,3,0,0,0,0,0,4,0,0,12,10,16,0,38,0,0,7,6,4,0,22,8,11,41,31,86,9,182,6,4,21,17
