UCL_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
UCL101001,6349,1041,28366,2685,459,6600,3806,4502,738,18786,3368,824,10773,2184,1422,379,18949,13406,2809,31185,8610,6254,1591,63850,2332,475,6051,3301,3825,589,16567,22436,4420,51456,10752,7858,2024,98950,2996,765,9799,5175,4960,910,24596,9517,3040,18828,7667,6707,946,46710,31117,9577,50432,12871,11439,1800,117228,32491,10414,79238,29690,29381,5230,186443,1865,450,5180,1894,1991,275,11661,2353,740,6903,5366,7643,698,23694,5291,736,12384,5097,4496,4056,32069,151540,38222,352775,128912,123800,24774,820016,528,104,1465,662,1178,159,4097,632,84,1104,334,631,72,2864,10459,1464,26158,12710,25433,2457,78676,2839,392,4653,1708,3593,306,13487,8887,1309,28372,15738,63275,3106,120691,9632,1263,21142,8403,11121,1511,53072,14904,2049,42322,20324,26253,3811,109663,5999,858,21136,15968,14805,2292,61066,9104,1414,21947,13883,21523,2891,70760,8985,1669,24173,6129,4670,1009,46624,32952,6284,71122,16496,10501,3140,140492,5203,979,12843,6789,8143,1153,35117,55642,9362,119696,21842,15066,4425,226036,6094,1241,18611,9443,11098,1781,48268,19114,5411,36705,17468,18611,2123,99438,48474
UCL102001,80,4,253,8,3,4,10,27,7,55,11,5,16,21,14,3,65,16,0,25,20,12,0,72,4,4,14,28,45,5,102,110,40,219,101,109,20,596,23,0,40,40,72,7,186,340,187,700,453,487,37,2208,156,96,400,91,136,8,889,217,91,471,260,328,40,1403,10,7,47,14,20,3,104,19,9,35,50,120,3,228,16,3,35,29,52,29,171,1040,460,2237,1295,1795,203,7031,0,0,18,6,15,0,43,0,3,0,0,10,0,15,32,3,75,73,262,12,453,7,0,27,23,81,8,140,47,0,116,143,1058,34,1404,9,0,18,21,82,7,134,146,10,190,97,305,35,777,94,3,120,90,190,22,521,38,8,63,53,174,19,349,18,7,44,46,53,3,173,15,4,48,38,23,7,132,8,6,34,47,85,5,186,253,78,464,228,209,32,1254,43,3,84,69,145,11,349,887,319,1291,873,879,80,4328,257
UCL102002,1085,80,2089,25,15,100,145,293,28,603,72,27,259,135,150,24,661,109,56,458,501,621,65,1819,25,16,118,258,471,40,934,339,168,1208,652,783,96,3256,50,32,255,353,658,47,1401,279,179,991,820,937,69,3275,1048,665,3411,1091,1272,116,7598,1263,902,5314,3268,5401,528,16681,40,25,191,135,190,15,595,65,41,273,451,1055,52,1922,84,22,318,268,415,198,1309,3767,2273,14802,10154,16713,1718,49427,12,4,108,68,230,20,441,14,8,67,80,315,13,489,199,51,867,805,3034,161,5120,45,21,146,202,568,26,1010,121,51,780,1071,8736,260,11021,137,35,408,349,902,63,1893,237,63,1167,1200,3501,278,6439,148,39,643,815,2052,138,3845,97,44,349,483,1787,125,2888,156,54,582,361,544,47,1752,312,120,1065,920,963,110,3488,55,29,247,433,844,66,1685,871,298,2839,1325,1479,190,7004,94,50,462,585,1453,99,2740,546,307,1835,1770,2321,167,6946,1614
UCL102003,271,41,628,0,5,30,31,50,10,122,6,4,29,16,11,0,66,10,10,51,45,68,3,193,11,4,35,39,104,9,204,46,35,241,132,150,19,622,12,5,77,79,127,13,309,26,20,138,115,146,12,459,198,160,671,228,268,32,1550,277,181,1058,580,947,107,3158,7,3,55,29,52,6,153,13,11,69,114,221,17,442,17,3,82,66,79,48,296,677,472,2963,1926,3136,380,9551,4,5,28,20,72,5,134,10,9,21,23,82,6,143,18,5,117,114,408,21,678,11,4,23,25,132,4,195,23,11,181,248,1733,58,2251,11,4,46,57,117,8,246,36,22,242,242,700,53,1291,40,15,233,232,579,63,1167,22,9,87,92,226,31,459,14,5,64,35,51,4,173,27,21,119,85,102,13,371,10,4,76,74,182,13,370,121,50,535,240,247,35,1227,20,10,127,112,295,29,583,57,48,264,253,373,23,1014,291
UCL102004,1165,86,2343,58,28,199,131,275,26,717,40,22,197,83,69,10,423,174,108,717,634,950,84,2677,30,22,150,213,416,40,872,540,283,1974,640,891,78,4401,73,43,411,349,731,54,1660,470,254,1494,742,940,68,3962,1973,865,4793,1257,1515,145,10540,2350,1189,8199,3573,5681,518,21512,38,22,237,125,229,12,669,89,49,350,504,1292,52,2334,86,38,358,223,379,209,1285,6480,3132,21614,10491,17742,1694,61155,23,3,106,55,169,9,369,144,67,546,411,1873,63,3100,350,105,1260,909,3416,124,6165,175,52,435,337,763,34,1804,202,97,1365,1065,8002,246,10979,129,52,425,378,1178,50,2207,382,100,1509,1105,3243,247,6584,183,35,966,859,2317,174,4538,212,75,667,618,2016,127,3717,80,37,393,198,275,24,1008,367,188,1446,993,1274,126,4394,74,37,348,383,778,68,1700,1393,535,4926,1418,1659,169,10095,142,65,659,560,1506,89,3023,984,465,2846,1740,2409,168,8599,3138
UCL102005,898,73,1875,30,10,96,129,333,26,626,54,18,179,59,67,6,375,119,54,561,456,650,69,1907,17,12,99,150,359,23,650,375,178,1187,436,564,52,2796,53,31,273,297,566,54,1280,376,176,1104,799,911,68,3441,1742,867,3446,1032,1282,110,8481,1629,780,4694,2748,4469,377,14701,48,26,198,114,168,13,568,70,30,273,341,908,32,1656,90,17,267,170,343,181,1069,5011,2327,14262,8215,13976,1273,45064,11,9,49,36,114,9,233,109,26,304,281,1291,49,2063,352,75,1088,871,2930,97,5403,71,9,138,162,520,18,917,154,41,697,874,6693,178,8628,98,27,315,232,698,33,1408,349,72,1186,891,2572,203,5270,248,38,875,630,1688,116,3597,183,39,405,547,2100,109,3395,112,34,423,176,215,17,981,305,107,1164,733,856,95,3252,46,20,207,253,627,42,1194,928,330,2932,987,1165,105,6437,129,51,470,458,1202,85,2396,752,343,2150,1765,2226,144,7377,2895
UCL111001,233,17,436,13,6,22,21,61,5,123,4,4,21,8,13,0,53,7,0,45,41,50,3,151,0,4,28,25,66,3,129,29,24,182,68,115,14,436,7,10,37,44,111,3,212,54,42,242,149,201,5,695,215,194,699,233,255,16,1615,272,198,1010,575,936,79,3072,6,4,24,9,27,0,75,13,7,30,83,203,13,347,14,0,39,28,66,37,186,710,537,2731,1626,2984,244,8831,14,12,33,37,100,4,194,0,0,6,4,29,0,37,65,20,230,166,784,38,1312,7,0,19,20,79,0,130,23,14,114,141,1407,37,1738,7,6,43,45,189,12,304,59,18,212,211,658,39,1183,31,4,141,180,449,27,824,28,9,76,115,320,23,575,5,14,43,22,39,3,127,24,14,94,65,75,13,284,5,0,48,40,113,5,222,92,59,385,131,194,22,883,14,7,71,70,213,24,397,117,81,425,302,455,17,1394,328
UCL111002,251,32,479,5,5,15,15,41,3,71,5,0,25,11,22,0,65,5,0,29,47,56,3,149,3,3,19,36,74,10,144,37,17,170,76,100,15,421,9,11,53,55,123,16,262,51,22,153,114,166,12,515,152,131,589,193,231,20,1324,226,167,956,514,877,101,2838,3,0,24,22,40,5,90,3,4,34,91,189,10,335,11,0,40,19,69,43,183,555,399,2366,1534,2756,302,7916,24,0,81,41,110,20,269,0,0,10,3,33,0,48,6,4,50,58,287,9,422,0,0,14,18,72,5,113,11,16,87,139,1081,28,1364,9,8,36,19,163,9,235,30,13,162,185,653,36,1081,17,13,139,190,528,52,935,14,4,43,58,208,16,345,6,6,43,22,48,0,127,18,10,91,92,75,10,293,3,4,47,56,128,11,252,92,49,367,136,179,25,849,7,11,81,94,257,24,477,92,54,310,230,348,24,1061,224
UCL111003,400,16,632,5,4,39,36,130,15,233,3,4,9,17,29,0,61,21,9,100,116,221,16,489,3,0,30,41,114,7,194,47,36,274,152,241,11,769,14,3,76,102,286,19,496,64,52,272,252,328,21,987,285,183,935,302,475,32,2215,305,241,1364,890,1794,138,4740,0,3,28,17,54,0,104,14,11,55,142,402,12,639,10,4,55,61,141,52,328,881,597,3761,2713,5975,437,14363,0,5,27,34,97,15,176,48,27,167,199,1379,39,1857,73,16,256,250,1197,59,1849,16,4,64,104,234,14,434,36,14,183,254,1863,63,2405,26,4,68,111,520,6,735,54,16,296,311,1148,68,1886,29,15,138,194,657,35,1065,25,12,88,141,687,44,999,11,4,26,36,72,3,158,32,20,183,186,304,20,744,12,0,46,66,226,8,363,133,82,626,316,452,25,1634,23,8,109,169,568,32,898,145,79,486,532,871,32,2141,412
UCL112001,82,4,142,0,0,5,3,9,0,20,3,0,8,3,11,0,25,0,0,16,13,25,4,66,3,0,10,9,19,0,37,48,20,78,32,32,5,212,9,4,24,17,37,3,93,51,9,78,26,38,0,205,338,111,358,119,127,18,1069,139,54,357,171,221,20,964,0,0,10,0,8,0,29,9,0,22,13,54,4,105,12,0,15,4,12,8,55,662,224,1105,498,811,86,3391,71,6,91,37,55,7,263,0,0,5,5,25,0,37,10,0,42,14,98,5,169,3,0,5,9,18,0,40,15,0,31,21,327,6,392,0,0,14,12,31,4,66,12,10,84,60,211,15,383,23,7,51,48,171,22,315,5,0,14,12,60,5,94,5,3,19,7,18,0,58,11,10,36,31,29,4,128,3,0,14,8,36,0,60,108,36,175,49,49,11,420,19,10,39,27,102,6,197,106,26,141,62,110,3,441,594
