UCL_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
UCL101001,267,558,442,216,686,845,252,625,56,3944,185,130,103,44,450,700,208,741,23,2579,5760,5354,4757,2980,21553,20117,5872,10146,620,77169,713,557,403,332,3241,4103,1057,2247,105,12759,33737,13095,9259,4945,15532,33225,7011,18971,2465,138227,2052,2894,2469,1560,11790,12993,3255,6448,234,43697,9826,16492,12378,5734,16972,16097,3910,7975,1078,90456,15405,17864,8563,3132,5779,4747,1242,3066,929,60722,8053,7694,8377,4223,16792,19702,5844,12590,1338,84618,1480,1817,1363,845,8086,11060,2485,5584,240,32961,1449,2432,2415,2499,20232,30504,7291,18953,516,86288,1189,2303,1606,881,4114,6194,1670,4330,191,22470,3448,8806,7107,4470,27275,50379,10217,26556,891,139156,4590,5446,4523,1966,6682,7325,1411,2929,474,35338,3629,2706,2552,1491,22229,17131,5924,7458,568,63687,4001,9316,3700,2355,12505,10731,3027,6954,363,52951,3680,7845,7226,5518,16831,17141,3561,8895,622,71314,4427,2093,1393,838,2847,3171,626,1551,164,17109,5357,4932,3180,1715,7204,7933,2117,3944,423,36808,5212,5711,4730,2496,12314,13918,2738,6351,10909,64377
UCL102001,3,9,5,5,4,10,0,5,0,39,0,0,0,0,0,0,0,14,0,20,8,31,20,14,146,171,70,100,3,560,10,3,4,7,45,46,10,24,3,161,50,86,86,63,286,790,240,411,28,2037,3,13,15,3,51,75,19,40,0,222,20,141,114,55,215,136,47,70,7,812,21,182,93,33,92,65,26,50,5,569,25,40,41,39,98,127,42,123,4,541,4,11,10,5,36,53,8,18,0,142,0,6,8,7,12,23,9,10,0,73,0,5,5,5,20,43,13,29,0,126,17,32,27,32,179,295,66,140,4,792,4,47,35,16,73,63,11,39,0,296,91,72,64,74,789,825,272,379,16,2583,14,53,29,25,90,92,27,66,5,395,14,55,47,43,111,87,28,42,3,431,9,33,13,9,31,28,7,10,0,132,15,38,25,13,86,121,35,68,5,406,14,27,30,22,98,123,33,56,77,476
UCL102002,33,61,44,35,99,118,24,77,0,496,51,15,20,5,113,135,54,202,4,595,269,347,294,232,1787,1656,479,864,38,5974,44,33,29,39,337,354,98,218,10,1166,1583,1338,1049,737,2200,4204,785,1957,230,14082,81,133,98,91,521,583,151,324,15,1996,540,1425,752,449,1180,960,293,474,81,6153,1175,1699,479,217,374,280,72,183,48,4528,318,371,293,169,806,950,371,783,40,4104,104,109,74,58,361,451,113,242,9,1526,44,87,70,64,557,713,172,367,5,2083,55,104,66,44,191,253,68,199,9,989,114,368,300,217,804,1390,319,871,16,4402,284,542,299,157,392,415,96,163,20,2367,314,152,176,110,1753,1147,547,439,41,4670,210,476,213,198,685,696,209,453,20,3158,299,577,633,607,1272,1219,270,493,47,5424,249,135,83,48,154,173,36,81,11,973,294,371,191,137,678,651,173,312,42,2844,248,294,224,147,693,744,157,373,549,3434
UCL102003,9,18,16,12,27,24,10,23,4,146,30,4,0,0,12,17,11,91,0,161,20,52,42,42,171,224,58,164,5,780,4,7,10,14,52,70,22,41,4,222,111,158,168,153,439,884,251,587,35,2788,16,28,12,14,66,79,32,59,0,311,47,254,180,129,257,175,65,100,9,1212,127,388,139,88,189,101,39,94,16,1183,50,81,79,45,110,111,27,91,18,612,3,21,8,8,25,30,13,44,5,148,8,15,12,15,37,68,21,48,6,219,13,35,12,9,41,40,11,51,0,214,8,71,56,51,109,187,51,157,0,699,23,124,58,56,78,74,22,22,3,464,50,33,37,27,250,168,63,62,5,696,32,87,66,63,150,131,44,89,0,664,45,135,153,120,241,189,37,95,11,1027,26,41,21,15,49,42,0,19,3,219,24,53,39,36,103,121,36,54,6,465,35,82,46,28,122,135,27,71,115,659
UCL102004,16,59,43,36,67,96,23,65,11,400,173,47,86,56,636,1029,380,925,27,3350,198,230,236,224,1898,2091,846,965,37,6740,68,48,49,57,485,525,181,311,6,1725,446,704,722,697,2385,4876,1118,2434,141,13520,77,139,110,72,520,770,264,500,12,2464,339,1576,923,536,1177,1026,329,564,53,6527,609,2284,839,330,628,491,148,334,60,5730,334,380,304,221,914,1098,473,1048,63,4846,41,83,57,49,205,213,54,122,3,831,61,82,90,65,664,574,190,343,10,2076,30,99,70,47,181,269,116,256,7,1076,172,493,362,362,1326,1970,543,1102,20,6341,126,451,322,218,464,439,105,212,21,2358,385,233,238,184,2027,1506,588,546,38,5748,174,751,399,311,1149,1011,325,671,14,4812,343,822,1032,894,1778,1845,386,892,65,8062,141,267,108,70,153,163,28,88,12,1042,114,272,209,193,733,836,237,445,19,3062,153,314,198,153,722,898,224,418,502,3580
UCL102005,12,45,22,25,26,45,11,36,5,214,107,40,39,37,562,716,327,488,16,2332,296,271,243,190,1526,1696,922,907,48,6085,53,37,31,29,304,361,102,184,9,1103,1186,932,738,523,1720,3459,689,1612,160,11020,59,120,74,56,375,435,149,257,9,1543,493,1202,640,321,932,690,191,361,55,4877,1056,1555,461,180,289,242,60,154,45,4042,330,415,385,211,850,1031,404,1081,74,4776,54,58,39,27,195,230,58,110,5,784,48,54,63,44,509,477,129,296,7,1621,42,80,55,25,134,185,62,119,5,709,129,335,271,207,905,1292,323,661,16,4141,217,340,183,131,377,344,67,140,22,1825,343,221,196,140,1889,1079,523,443,36,4875,222,509,245,229,1070,793,229,542,16,3845,258,497,526,441,1128,1135,272,484,32,4775,234,133,60,43,138,141,26,73,4,849,293,264,185,99,574,681,153,340,33,2613,219,263,205,115,539,632,150,303,435,2856
UCL111001,0,15,9,8,38,55,14,60,0,209,6,0,5,0,4,7,0,24,0,47,38,57,61,43,392,530,217,255,17,1609,0,6,0,0,43,59,21,23,0,151,50,86,79,89,417,761,226,436,19,2154,6,22,19,15,92,135,46,76,0,410,34,255,119,104,238,204,62,118,13,1148,43,250,120,55,136,104,41,79,14,840,36,54,67,43,133,199,60,263,9,861,3,7,0,4,35,40,4,20,0,112,6,0,14,6,35,65,12,38,0,173,0,8,5,3,27,33,18,42,0,139,13,43,45,26,107,137,38,110,3,521,8,71,46,34,72,68,21,29,9,359,50,47,63,21,292,253,71,88,7,896,12,69,63,49,182,140,62,113,4,701,46,83,121,104,244,208,63,107,5,983,8,36,15,8,17,24,9,7,0,117,9,38,40,20,106,150,50,82,9,498,14,40,47,21,127,145,51,82,93,620
UCL111002,11,54,56,37,90,76,28,50,11,416,11,0,0,0,0,7,5,28,0,58,14,21,29,25,161,124,40,73,3,494,7,4,4,5,37,39,22,23,0,144,54,110,93,94,400,505,131,286,32,1705,11,15,23,4,86,75,43,39,0,303,44,261,140,108,255,155,67,96,8,1136,64,325,144,75,144,91,47,90,12,992,27,58,53,44,85,97,40,116,5,527,7,14,9,4,32,26,3,9,0,101,8,17,9,6,33,46,20,44,0,176,3,14,7,8,29,27,14,37,0,146,12,44,36,35,97,128,36,95,3,496,16,83,64,45,78,61,16,25,3,395,46,33,26,32,229,155,54,77,6,660,21,71,51,40,102,110,48,86,8,544,52,137,140,140,253,231,61,124,12,1147,8,37,20,10,37,29,8,15,5,159,13,30,23,24,124,130,37,65,3,448,20,65,38,30,108,100,20,53,86,518
UCL111003,14,20,31,26,57,53,10,31,11,240,98,30,71,24,320,533,292,748,21,2142,66,64,75,68,607,635,290,346,14,2157,15,10,4,10,135,155,46,84,6,470,94,136,152,144,599,1072,320,650,38,3213,22,22,15,23,164,264,113,217,4,845,84,382,192,120,403,284,107,138,13,1719,123,476,155,63,165,85,31,94,12,1213,77,94,102,68,263,309,131,427,18,1484,8,11,13,6,38,36,12,19,0,144,10,15,10,12,124,86,27,40,0,327,10,16,10,14,51,49,31,56,3,234,18,66,57,61,231,328,88,188,3,1026,27,111,89,50,158,110,39,109,8,695,88,58,62,50,535,412,144,130,9,1478,42,106,65,49,181,159,60,113,4,779,57,158,155,149,304,248,56,102,10,1235,35,35,15,10,27,31,5,15,0,173,22,61,53,52,233,297,85,161,16,985,46,76,62,46,209,260,64,136,160,1060
UCL112001,8,23,30,22,83,43,16,31,0,265,4,0,0,0,4,0,5,24,0,42,5,17,5,3,64,48,31,43,0,213,0,4,0,3,18,17,9,5,0,59,13,23,35,24,124,153,50,90,7,522,0,7,0,3,19,20,12,14,0,85,8,115,48,24,107,65,29,46,3,434,27,127,57,22,54,46,16,34,9,385,10,24,12,9,30,26,4,44,0,154,6,3,9,5,19,7,0,3,0,48,6,0,7,3,14,18,10,14,4,70,0,7,0,3,8,5,5,9,0,34,6,30,14,18,70,46,18,29,5,240,6,22,18,23,37,24,4,18,0,150,27,8,14,6,131,44,16,32,0,288,21,92,46,34,247,138,41,101,0,714,9,62,47,42,81,68,23,48,0,381,0,12,5,3,12,19,3,8,0,56,9,21,19,10,39,39,14,20,0,158,4,14,8,3,29,28,9,21,32,151
