UCL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
UCL101001,235,514,15,7,24,542,907,1203,2649,51918,30504,11076,93494,3227,2788,6018,99510,81802,2201,183509
UCL102001,0,6,0,0,0,6,12,9,25,736,255,72,1069,31,19,53,1119,521,20,1652
UCL102002,14,50,3,0,3,57,103,99,258,4594,3840,1138,9566,286,254,541,10110,7097,199,17406
UCL102003,7,15,0,0,0,16,29,27,63,757,781,151,1690,42,44,82,1778,1244,45,3062
UCL102004,23,52,0,3,3,58,75,73,197,5049,3871,632,9547,259,269,534,10084,5971,155,16208
UCL102005,14,41,4,0,0,39,85,76,198,3471,2802,813,7089,201,182,385,7473,5717,166,13347
UCL111001,4,12,0,0,0,14,17,17,48,770,682,93,1549,56,67,129,1673,953,34,2661
UCL111002,4,11,0,0,0,11,15,25,47,788,700,102,1597,52,51,104,1701,1046,43,2788
UCL111003,13,13,0,0,0,13,25,22,63,1421,1113,213,2747,93,91,188,2932,1723,43,4693
UCL112001,0,0,0,0,0,0,8,4,11,272,220,33,522,21,13,31,560,392,8,959
UCL112002,7,17,0,0,0,15,14,14,48,648,467,64,1173,32,44,73,1248,610,23,1878
UCL112003,0,0,0,0,0,0,7,3,11,328,373,100,803,10,22,34,837,538,6,1385
UCL112004,0,0,0,0,0,0,9,3,10,244,217,27,488,6,12,18,510,335,8,849
UCL112005,5,3,0,0,0,6,18,12,36,279,367,98,749,35,37,70,821,732,28,1577
UCL112006,4,15,0,0,0,13,15,26,53,691,420,93,1210,32,33,65,1273,642,36,1956
UCL112007,0,0,0,0,0,0,0,3,3,60,54,13,121,4,0,9,133,52,3,179
UCL112008,0,7,0,0,0,7,15,7,27,207,231,48,488,13,6,18,505,464,18,991
UCL112009,3,7,0,0,0,7,13,6,19,381,279,43,702,19,29,47,754,460,10,1221
UCL112010,0,0,0,0,0,0,6,10,21,292,194,33,516,11,15,28,542,301,16,860
