POA_CODE_2021,SA2_CODE_2021,mb_count,poa_total,ratio
2000,117031644,190,287,0.662020905923345
2007,117031646,59,59,1.0
2008,117031639,62,95,0.6526315789473685
2009,117031641,80,80,1.0
2010,117031336,201,379,0.5303430079155673
2011,117031333,306,307,0.996742671009772
2015,117031330,121,144,0.8402777777777778
2016,117031642,142,142,1.0
2017,117031647,92,150,0.6133333333333333
2018,117011634,100,172,0.5813953488372093
2019,117011321,124,137,0.9051094890510949
2020,117011635,134,137,0.9781021897810219
2021,118011345,234,243,0.9629629629629629
2022,118011341,168,168,1.0
2023,118011649,139,139,1.0
2024,118011339,99,160,0.61875
2025,118011347,113,113,1.0
2026,118011340,291,467,0.6231263383297645
2027,118011650,105,136,0.7720588235294118
2028,118011650,78,99,0.7878787878787878
2029,118011346,67,141,0.475177304964539
2030,118011346,106,201,0.527363184079602
2031,118021569,203,443,0.4582392776523702
2032,118021565,151,173,0.8728323699421965
2033,118021564,134,135,0.9925925925925926
2034,118021651,240,303,0.7920792079207921
2035,118021567,132,373,0.353887399463807
2036,118021653,119,311,0.38263665594855306
2037,117031331,247,247,1.0
2038,120021674,132,133,0.9924812030075187
2039,120021389,131,131,1.0
2040,120021675,225,287,0.7839721254355401
2041,120021387,227,228,0.9956140350877193
2042,117031640,210,267,0.7865168539325843
2043,117031330,74,74,1.0
2044,117021328,111,111,1.0
2045,120031395,89,89,1.0
2046,120011386,272,359,0.7576601671309192
2047,120011385,174,174,1.0
2048,117021327,97,97,1.0
2049,117021327,106,155,0.6838709677419355
2050,117031638,73,102,0.7156862745098039
2060,121041417,166,249,0.6666666666666666
2061,121041416,71,98,0.7244897959183674
2062,121041413,85,116,0.7327586206896551
2063,121011683,94,94,1.0
2064,121011682,115,144,0.7986111111111112
2065,121041414,222,448,0.4955357142857143
2066,121011686,200,445,0.449438202247191
2067,121011684,172,311,0.5530546623794212
2068,121011687,142,217,0.6543778801843319
2069,121031408,112,191,0.5863874345549738
2070,121031408,178,181,0.9834254143646409
2071,121031407,151,152,0.993421052631579
2072,121031407,97,97,1.0
2073,121031409,182,182,1.0
2074,121031411,251,277,0.9061371841155235
2075,121031410,240,240,1.0
2076,121031412,179,284,0.6302816901408451
2077,121021577,162,503,0.3220675944333996
2079,121021403,83,83,1.0
2080,121021403,25,26,0.9615384615384616
2081,121021404,69,69,1.0
2082,121021404,53,61,0.8688524590163934
2083,121021404,29,52,0.5576923076923077
2084,122031432,52,54,0.9629629629629629
2085,122031692,103,143,0.7202797202797203
2086,122031696,155,158,0.9810126582278481
2087,122031427,144,144,1.0
2088,121041689,229,441,0.5192743764172335
2089,121041416,183,183,1.0
2090,121041413,215,216,0.9953703703703703
2092,122011418,92,92,1.0
2093,122011418,172,303,0.5676567656765676
2094,122011419,84,84,1.0
2095,122011419,280,280,1.0
2096,122031429,197,197,1.0
2097,122031693,163,191,0.8534031413612565
2099,122031695,215,528,0.4071969696969697
2100,122031429,123,285,0.43157894736842106
2101,122031697,112,247,0.4534412955465587
2102,122021691,49,83,0.5903614457831325
2103,122021690,150,152,0.9868421052631579
2104,122021421,45,47,0.9574468085106383
2105,122021421,27,27,1.0
2106,122021422,121,121,1.0
2107,122021420,157,205,0.7658536585365854
2108,122021420,49,54,0.9074074074074074
2110,126021499,124,125,0.992
2111,126021498,201,201,1.0
2112,126021724,216,376,0.574468085106383
2113,126021501,160,285,0.5614035087719298
2114,126021503,239,302,0.7913907284768212
2115,125021477,125,125,1.0
2116,125021477,89,89,1.0
2117,125021478,207,250,0.828
2118,125021712,166,257,0.6459143968871596
2119,126011496,108,135,0.8
2120,121021406,154,249,0.6184738955823293
2121,126011721,171,334,0.5119760479041916
2122,126021723,213,365,0.5835616438356165
2125,115011296,135,177,0.7627118644067796
2126,115011558,184,185,0.9945945945945946
2127,125011710,57,114,0.5
2128,125011709,71,71,1.0
2130,120031395,106,112,0.9464285714285714
2131,120031676,162,295,0.5491525423728814
2132,120031679,108,128,0.84375
2133,120031393,136,136,1.0
2134,120031678,157,187,0.839572192513369
2135,120031680,165,276,0.5978260869565217
2136,120031393,53,102,0.5196078431372549
2137,120011383,231,285,0.8105263157894737
2138,120011672,88,134,0.6567164179104478
2140,120031396,192,193,0.9948186528497409
2141,125011586,208,295,0.7050847457627119
2142,125031481,164,357,0.45938375350140054
2143,125011587,66,111,0.5945945945945946
2144,125011582,150,352,0.42613636363636365
2145,125041589,217,948,0.2289029535864979
2146,125041493,140,245,0.5714285714285714
2147,116011307,293,432,0.6782407407407407
2148,116011303,235,714,0.3291316526610644
2150,125041489,116,395,0.2936708860759494
2151,125041489,192,305,0.6295081967213115
2152,125041491,136,159,0.8553459119496856
2153,115011290,247,612,0.4035947712418301
2154,115011555,130,410,0.3170731707317073
2155,115041625,182,647,0.28129829984544047
2156,115011294,72,137,0.5255474452554745
2157,115021297,38,39,0.9743589743589743
2158,115021297,104,104,1.0
2159,115021298,67,67,1.0
2160,125031714,231,406,0.5689655172413793
2161,125031483,150,352,0.42613636363636365
2162,125031479,184,198,0.9292929292929293
2163,125031480,74,140,0.5285714285714286
2164,127021519,203,301,0.6744186046511628
2165,127021516,202,462,0.43722943722943725
2166,127021511,271,605,0.4479338842975207
2167,123021704,108,108,1.0
2168,127011504,172,407,0.4226044226044226
2170,127031523,223,1161,0.1920757967269595
2171,127011597,137,337,0.4065281899109792
2172,127031524,25,25,1.0
2173,127031524,149,153,0.9738562091503268
2174,127031730,80,80,1.0
2175,127021518,26,26,1.0
2176,127021510,197,523,0.37667304015296366
2177,127021509,179,180,0.9944444444444445
2178,127021518,28,46,0.6086956521739131
2179,127011728,75,138,0.5434782608695652
2190,119011655,142,266,0.5338345864661654
2191,119021362,64,64,1.0
2192,119021362,155,155,1.0
2193,120031392,134,199,0.6733668341708543
2194,119021659,119,255,0.4666666666666667
2195,119021573,181,285,0.6350877192982456
2196,119021366,187,325,0.5753846153846154
2197,119011354,102,103,0.9902912621359223
2198,119011354,96,96,1.0
2199,119011361,175,184,0.9510869565217391
2200,119011571,196,536,0.3656716417910448
2203,120031394,170,171,0.9941520467836257
2204,117021637,192,351,0.5470085470085471
2205,119041668,126,173,0.7283236994219653
2206,119021662,211,229,0.9213973799126638
2207,119041669,116,364,0.31868131868131866
2208,119021663,81,161,0.5031055900621118
2209,119031370,167,196,0.8520408163265306
2210,119031372,248,386,0.6424870466321243
2211,119011358,198,214,0.9252336448598131
2212,119011360,174,188,0.925531914893617
2213,119011658,168,240,0.7
2214,119011657,44,54,0.8148148148148148
2216,119041381,215,364,0.5906593406593407
2217,119041378,150,367,0.4087193460490463
2218,119041379,162,212,0.7641509433962265
2219,119041382,201,201,1.0
2220,119031664,107,337,0.31750741839762614
2221,119031374,219,219,1.0
2222,119031667,116,153,0.7581699346405228
2223,119031666,170,274,0.6204379562043796
2224,128011531,146,146,1.0
2225,128021536,56,56,1.0
2226,128021536,154,155,0.9935483870967742
2227,128011529,157,160,0.98125
2228,128011530,217,220,0.9863636363636363
2229,128011602,153,338,0.4526627218934911
2230,128011604,383,492,0.7784552845528455
2231,128011604,55,55,1.0
2232,128021538,264,423,0.624113475177305
2233,128021607,212,391,0.5421994884910486
2234,128021535,256,386,0.6632124352331606
2250,102011032,410,1128,0.36347517730496454
2251,102011028,145,535,0.27102803738317754
2256,102011042,264,330,0.8
2257,102011040,388,531,0.7306967984934086
2258,102021051,75,79,0.9493670886075949
2259,102021056,183,959,0.1908237747653806
2260,102011039,230,378,0.6084656084656085
2261,102021053,355,868,0.40898617511520735
2262,102021046,160,296,0.5405405405405406
2263,102021048,202,367,0.5504087193460491
2264,111021216,138,262,0.5267175572519084
2265,111021218,87,87,1.0
2267,111021220,62,62,1.0
2278,111021221,45,45,1.0
2280,111011206,272,423,0.6430260047281324
2281,111011212,229,282,0.8120567375886525
2282,111011214,124,232,0.5344827586206896
2283,111021219,242,395,0.6126582278481013
2284,111021215,82,184,0.44565217391304346
2285,111011209,254,443,0.5733634311512416
2286,111021221,48,48,1.0
2287,111031233,290,525,0.5523809523809524
2289,111031222,202,249,0.8112449799196787
2290,111011208,358,506,0.7075098814229249
2291,111031228,181,181,1.0
2292,111031224,58,58,1.0
2293,111031235,57,57,1.0
2294,111031235,43,50,0.86
2295,111031232,110,110,1.0
2296,111031235,35,35,1.0
2297,111031235,30,30,1.0
2298,111031234,122,122,1.0
2299,111031225,71,147,0.48299319727891155
2300,111031229,206,209,0.9856459330143541
2302,111031229,21,34,0.6176470588235294
2303,111031224,134,135,0.9925925925925926
2304,111031227,235,255,0.9215686274509803
2305,111031225,136,160,0.85
2306,111011210,44,44,1.0
2307,111031231,62,62,1.0
2308,111031231,1,1,1.0
2311,106011110,27,27,1.0
2312,108011153,17,21,0.8095238095238095
2315,106031121,345,345,1.0
2316,106031119,108,114,0.9473684210526315
2317,106031121,121,121,1.0
2318,106031125,142,156,0.9102564102564102
2319,106031120,137,138,0.9927536231884058
2320,106021615,167,502,0.33266932270916333
2321,106011111,51,219,0.2328767123287671
2322,106021618,157,304,0.5164473684210527
2323,106021614,287,405,0.7086419753086419
2324,106031122,201,469,0.42857142857142855
2325,106011108,300,460,0.6521739130434783
2326,106011111,110,115,0.9565217391304348
2327,106011111,118,118,1.0
2328,106041127,45,45,1.0
2329,106041129,62,66,0.9393939393939394
2330,106011112,247,402,0.6144278606965174
2331,106011113,5,6,0.8333333333333334
2333,106041126,216,251,0.8605577689243028
2334,106011107,33,33,1.0
